question,answer
"Is Flutter Garbage?","Yes. Please use only React Native if, at all, not actual Native.Flutter tries to reinvent the wheel by having its own renderer."
"Why Imaginary Numbers?","That's a misnomer. They just have one extra dimension. They're very real. While at hand, have you ever considered that even negetive numbers are made up. In fact. ALL NUMBERS are made up"
